User agent|Software|Software Type|Hardware Type|Popularity
Mozilla/5.0 (X11; CrOS x86_64 9460.73.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.134 Safari/537.36|Chrome 59|Web Browser|Computer|Common
Mozilla/5.0 (X11; CrOS x86_64 9460.60.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.91 Safari/537.36|Chrome 59|Web Browser|Computer|Common
Mozilla/5.0 (X11; CrOS armv7l 11895.118.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.159 Safari/537.36|Chrome 74|Web Browser|Computer|Common
Mozilla/5.0 (X11; CrOS aarch64 13020.67.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36|Chrome 83|Web Browser|Computer|Common
Mozilla/5.0 (X11; CrOS armv7l 12871.102.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.141 Safari/537.36|Chrome 81|Web Browser|Computer|Average
Mozilla/5.0 (X11; CrOS armv7l 12607.81.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.119 Safari/537.36|Chrome 79|Web Browser|Computer|Average
Mozilla/5.0 (X11; CrOS x86_64 13020.97.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.122 Safari/537.36|Chrome 83|Web Browser|Computer|Average
Mozilla/5.0 (X11; CrOS aarch64 11647.154.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.114 Safari/537.36|Chrome 73|Web Browser|Computer|Average
Mozilla/5.0 (X11; CrOS x86_64 12371.65.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.93 Safari/537.36|Chrome 77|Web Browser|Computer|Average
Mozilla/5.0 (X11; CrOS armv7l 8530.96.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.154 Safari/537.36|Chrome 53|Web Browser|Computer|Average
Mozilla/5.0 (X11; CrOS x86_64 12239.2.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.121 Safari/537.36|Chrome 76|Web Browser|Computer|Average
Mozilla/5.0 (X11; CrOS x86_64 7077.134.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.156 Safari/537.36|Chrome 44|Web Browser|Computer|Average
Mozilla/5.0 (X11; CrOS armv7l 10176.68.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.144 Safari/537.36|Chrome 64|Web Browser|Computer|Average
Mozilla/5.0 (X11; CrOS armv7l 11316.165.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.122 Safari/537.36|Chrome 72|Web Browser|Computer|Average
Mozilla/5.0 (X11; CrOS aarch64 12105.90.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.129 Safari/537.36|Chrome 75|Web Browser|Computer|Average
Mozilla/5.0 (X11; CrOS x86_64 7520.67.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.110 Safari/537.36|Chrome 47|Web Browser|Computer|Average
Mozilla/5.0 (X11; CrOS x86_64 8530.93.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.144 Safari/537.36|Chrome 53|Web Browser|Computer|Average
Mozilla/5.0 (X11; CrOS x86_64 8172.47.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79 Safari/537.36|Chrome 51|Web Browser|Computer|Average
Mozilla/5.0 (X11; CrOS x86_64 7390.61.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.71 Safari/537.36|Chrome 46|Web Browser|Computer|Average
Mozilla/5.0 (X11; CrOS i686 3912.101.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.116 Safari/537.36|Chrome 27|Web Browser|Computer|Average
Mozilla/5.0 (X11; CrOS aarch64 12105.75.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.102 Safari/537.36|Chrome 75|Web Browser|Computer|Average
Mozilla/5.0 (X11; CrOS armv7l 7520.67.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.110 Safari/537.36|Chrome 47|Web Browser|Computer|Average
Mozilla/5.0 (X11; CrOS x86_64 12371.89.3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.120 Safari/537.36|Chrome 77|Web Browser|Computer|Average
Mozilla/5.0 (X11; CrOS x86_64 8172.56.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36|Chrome 51|Web Browser|Computer|Average
Mozilla/5.0 (X11; CrOS x86_64 10575.58.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.101 Safari/537.36|Chrome 67|Web Browser|Computer|Average
Mozilla/5.0 (X11; CrOS armv7l 12607.82.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.123 Safari/537.36|Chrome 79|Web Browser|Computer|Average
Mozilla/5.0 (X11; CrOS x86_64 7834.66.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.111 Safari/537.36|Chrome 49|Web Browser|Computer|Average
Mozilla/5.0 (X11; CrOS armv7l 7390.68.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.82 Safari/537.36|Chrome 46|Web Browser|Computer|Average
Mozilla/5.0 (X11; CrOS armv7l 8872.76.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.105 Safari/537.36|Chrome 55|Web Browser|Computer|Average
